epoch,train_rec,train_con,rec_loss,con_loss,concept_mae,baseline_mae,topk_mae,topk_recovery,topk_corr,hr,ndcg,mrr
1,5.7141427556673685,0.17062165743360916,6.285292863845825,0.16418705880641937,0.04984860494732857,0.04246819019317627,0.15092675387859344,0.8618630170822144,0.6359289884567261,"{5: 0.1554635761589404, 10: 0.23394039735099337, 20: 0.34586092715231787}","{5: 0.09939514564362582, 10: 0.12471713135574038, 20: 0.1530076892170685}",0.10732097752046901
2,5.542133937279384,0.1560509870139261,6.194202899932861,0.15964695066213608,0.04525001347064972,0.04246819019317627,0.1503094881772995,0.851125955581665,0.6548970937728882,"{5: 0.1741721854304636, 10: 0.2599337748344371, 20: 0.36473509933774834}","{5: 0.11429668451776567, 10: 0.14190253453538906, 20: 0.16831279022014695}",0.12109389147221647
3,5.508944726983706,0.1536823967161278,6.249346017837524,0.15909681469202042,0.045023366808891296,0.04246819019317627,0.14545422792434692,0.8601737022399902,0.6603079438209534,"{5: 0.1771523178807947, 10: 0.2577814569536424, 20: 0.3605960264900662}","{5: 0.11910029531314673, 10: 0.14508494193980237, 20: 0.1708972299335808}",0.12579398249948262
4,5.490816726287206,0.15228812846665582,6.2336931228637695,0.15724045783281326,0.04284645617008209,0.04246819019317627,0.1444149613380432,0.8639252185821533,0.6683428883552551,"{5: 0.17367549668874172, 10: 0.26109271523178806, 20: 0.36804635761589405}","{5: 0.114061092856704, 10: 0.14234563562254243, 20: 0.16922869145475475}",0.12123264287481245
5,5.479620867967606,0.15140122457717856,6.207404136657715,0.15672894567251205,0.04250863939523697,0.04246819019317627,0.1427730917930603,0.8730236887931824,0.6714206337928772,"{5: 0.1806291390728477, 10: 0.2644039735099338, 20: 0.37715231788079473}","{5: 0.11787547433613152, 10: 0.14475786828047393, 20: 0.1732187789007528}",0.12373069106348303
6,5.469751778244972,0.1506022620635728,6.211751699447632,0.15576817840337753,0.041243914514780045,0.04246819019317627,0.14058226346969604,0.8809874057769775,0.67557293176651,"{5: 0.17880794701986755, 10: 0.26556291390728476, 20: 0.36887417218543045}","{5: 0.11913984690280939, 10: 0.14705965155797288, 20: 0.17300868760671048}",0.12592243927204055
7,5.463450103998184,0.15006074272096157,6.181196451187134,0.1553676351904869,0.04107999429106712,0.04246819019317627,0.14074715971946716,0.8880019187927246,0.6731653809547424,"{5: 0.19387417218543046, 10: 0.2716887417218543, 20: 0.3839403973509934}","{5: 0.13042671254139074, 10: 0.1554950486745266, 20: 0.18377932617995912}",0.13529061829017489
8,5.460486218333244,0.14955037102724114,6.186446666717529,0.1552475541830063,0.04075899347662926,0.04246819019317627,0.13946004211902618,0.8775164484977722,0.6816734671592712,"{5: 0.1880794701986755, 10: 0.26986754966887416, 20: 0.37268211920529803}","{5: 0.12261456622193191, 10: 0.1489593000601459, 20: 0.17489555308360927}",0.12661547629249018
9,5.456104565660159,0.1489926488449176,6.157992362976074,0.15456223487854004,0.04039152339100838,0.04246819019317627,0.13745713233947754,0.8911086320877075,0.6831972002983093,"{5: 0.18758278145695365, 10: 0.2816225165562914, 20: 0.39172185430463574}","{5: 0.12758197910738306, 10: 0.15798788007521472, 20: 0.1857128016996068}",0.13527745126888452
10,5.452083300550779,0.14855769413212935,6.1906960010528564,0.15418952703475952,0.039495352655649185,0.04246819019317627,0.14048680663108826,0.8719568252563477,0.6808462142944336,"{5: 0.18543046357615894, 10: 0.27516556291390726, 20: 0.3793046357615894}","{5: 0.12454307000368636, 10: 0.15348903327588215, 20: 0.17974280047890367}",0.13128658572569588
