epoch,train_rec,train_con,rec_loss,con_loss,concept_mae,baseline_mae,topk_mae,topk_recovery,topk_corr,hr,ndcg,mrr
1,5.872988518079122,0.2598731678289672,6.114465236663818,0.23205188661813736,0.09959736466407776,0.04690159112215042,0.17049185931682587,0.854070782661438,0.38200467824935913,"{5: 0.16854304635761588, 10: 0.25248344370860926, 20: 0.3576158940397351}","{5: 0.1093319116049255, 10: 0.13630501450292323, 20: 0.16291161341382968}",0.11637052321276128
2,5.557283867398898,0.21399748551969727,6.035304307937622,0.21784412115812302,0.08645133674144745,0.04690159112215042,0.16326454281806946,0.8718186616897583,0.4034426212310791,"{5: 0.1857615894039735, 10: 0.27417218543046357, 20: 0.37880794701986753}","{5: 0.12382348167975217, 10: 0.1524123084466189, 20: 0.17874202601957007}",0.130300792163571
3,5.513343474268913,0.20511558838188648,6.056212663650513,0.21165655553340912,0.08049387484788895,0.04690159112215042,0.16304731369018555,0.8689764142036438,0.40358439087867737,"{5: 0.1890728476821192, 10: 0.2758278145695364, 20: 0.3849337748344371}","{5: 0.1276746737246482, 10: 0.15572998855287665, 20: 0.18318684558994722}",0.1342424203228477
4,5.49271457294623,0.2009667230769992,6.046662330627441,0.20827838778495789,0.07733254879713058,0.04690159112215042,0.1620689183473587,0.8691918849945068,0.40862953662872314,"{5: 0.1925496688741722, 10: 0.28211920529801326, 20: 0.3877483443708609}","{5: 0.12961936091745135, 10: 0.15854081918072227, 20: 0.18504829154109323}",0.13560936024646886
5,5.480035960674286,0.19866328006610273,6.02846097946167,0.20582203567028046,0.07489748299121857,0.04690159112215042,0.16187094151973724,0.8657861351966858,0.4139908254146576,"{5: 0.19403973509933775, 10: 0.2854304635761589, 20: 0.3894039735099338}","{5: 0.13036554601808256, 10: 0.15983268283060845, 20: 0.18608503025888606}",0.13636611029012313
6,5.47144929766655,0.1969906609194974,6.0181965827941895,0.20562206953763962,0.0746922418475151,0.04690159112215042,0.16084261238574982,0.8665614128112793,0.4198489189147949,"{5: 0.2, 10: 0.2855960264900662, 20: 0.39105960264900663}","{5: 0.1331616938508899, 10: 0.16089472486483342, 20: 0.18751968484840645}",0.13749812044055257
7,5.464992624521256,0.19598473906517028,6.004647731781006,0.20375891029834747,0.0728432685136795,0.04690159112215042,0.16124403476715088,0.8653408885002136,0.41921186447143555,"{5: 0.1978476821192053, 10: 0.2870860927152318, 20: 0.39503311258278145}","{5: 0.13234079120964404, 10: 0.16117281882178705, 20: 0.18842096897150507}",0.13768629869877896
8,5.458686245481173,0.19513933847968776,6.040341377258301,0.20362615585327148,0.07275224477052689,0.04690159112215042,0.1600807160139084,0.8680950999259949,0.4251538813114166,"{5: 0.19718543046357617, 10: 0.2867549668874172, 20: 0.39172185430463574}","{5: 0.13121618814026284, 10: 0.16004874122063845, 20: 0.18652625683917115}",0.13622105579502536
9,5.45602625310421,0.19429306865980228,6.01213264465332,0.2017109990119934,0.0708509013056755,0.04690159112215042,0.16017864644527435,0.8651750087738037,0.42996686697006226,"{5: 0.19801324503311257, 10: 0.28874172185430463, 20: 0.3970198675496689}","{5: 0.13352721258504502, 10: 0.16287096036191018, 20: 0.1902739872206126}",0.13948194491152732
10,5.452257961034775,0.19369354366014402,6.021240949630737,0.2017349749803543,0.07091330736875534,0.04690159112215042,0.15924189984798431,0.8685997128486633,0.43230757117271423,"{5: 0.19619205298013245, 10: 0.28427152317880794, 20: 0.393046357615894}","{5: 0.13347154832044184, 10: 0.16201634691251035, 20: 0.18938798714947228}",0.1396627059835472
11,5.447623543938001,0.1929284540315469,6.013551473617554,0.2009691372513771,0.07015169411897659,0.04690159112215042,0.16017134487628937,0.8632573485374451,0.4337031841278076,"{5: 0.19768211920529802, 10: 0.2902317880794702, 20: 0.398841059602649}","{5: 0.13379028522415667, 10: 0.16356639735746067, 20: 0.19100107357201987}",0.13984864089662666
12,5.444502049684525,0.19237485689421494,6.040832996368408,0.19992297142744064,0.06911756843328476,0.04690159112215042,0.15932174026966095,0.8659524321556091,0.43869131803512573,"{5: 0.19735099337748344, 10: 0.28327814569536425, 20: 0.3956953642384106}","{5: 0.13246950061115997, 10: 0.16009898406780318, 20: 0.18849816732848718}",0.13771855436413494
13,5.4426990648110705,0.19182001600662868,6.0171287059783936,0.20009855180978775,0.06929685920476913,0.04690159112215042,0.1583133190870285,0.8694131374359131,0.4390239715576172,"{5: 0.20198675496688742, 10: 0.2910596026490066, 20: 0.4009933774834437}","{5: 0.1348868666895178, 10: 0.16364510643561156, 20: 0.1914095644919288}",0.13969022232965128
14,5.4415021230777105,0.19150100682551663,6.030130386352539,0.19927994161844254,0.06855508685112,0.04690159112215042,0.15833012759685516,0.867425799369812,0.4427894949913025,"{5: 0.19602649006622516, 10: 0.28725165562913907, 20: 0.3932119205298013}","{5: 0.13340118610306292, 10: 0.16278537977610202, 20: 0.1895320311287381}",0.13978419019686467
15,5.440283099810283,0.19106973251327872,6.023512125015259,0.19933132827281952,0.06863981485366821,0.04690159112215042,0.1577727198600769,0.8658673167228699,0.4510698616504669,"{5: 0.2021523178807947, 10: 0.29089403973509936, 20: 0.3971854304635762}","{5: 0.13592944618881933, 10: 0.1645229769068838, 20: 0.19142486875420375}",0.14073766241010452
16,5.438415706157684,0.19066750000541408,6.016842842102051,0.19842080771923065,0.067652627825737,0.04690159112215042,0.15750616788864136,0.8681503534317017,0.450142502784729,"{5: 0.20049668874172186, 10: 0.2905629139072848, 20: 0.40066225165562913}","{5: 0.1358662030554765, 10: 0.16489877258704988, 20: 0.19260297358430775}",0.1414852925483754
17,5.436094235380491,0.19027006880690653,6.019984722137451,0.1982482224702835,0.06757070124149323,0.04690159112215042,0.15653680264949799,0.8704019784927368,0.4540219008922577,"{5: 0.19586092715231787, 10: 0.2903973509933775, 20: 0.3970198675496689}","{5: 0.13347365019337232, 10: 0.16398576142772145, 20: 0.1908644063583273}",0.14032602373337905
18,5.433946046233177,0.1898248522542417,6.013272762298584,0.1974756121635437,0.06677365303039551,0.04690159112215042,0.15649178624153137,0.8679907321929932,0.4581822454929352,"{5: 0.203476821192053, 10: 0.2933774834437086, 20: 0.4016556291390728}","{5: 0.13824096578635917, 10: 0.16728482783235463, 20: 0.19452486859252122}",0.14350604126784974
19,5.4326259603103,0.18941496613745887,6.027811050415039,0.19705761224031448,0.06632234901189804,0.04690159112215042,0.15567520260810852,0.8708322048187256,0.46008825302124023,"{5: 0.20248344370860927, 10: 0.2899006622516556, 20: 0.39933774834437086}","{5: 0.136547598933542, 10: 0.16468245146290356, 20: 0.19225583613313588}",0.14131616251358134
20,5.4313928832610445,0.18910561533023915,6.018476247787476,0.19711340218782425,0.06638414412736893,0.04690159112215042,0.1549968123435974,0.8743740320205688,0.46330589056015015,"{5: 0.203476821192053, 10: 0.2902317880794702, 20: 0.39834437086092717}","{5: 0.13694721752444639, 10: 0.16497826986754968, 20: 0.19226869494709747}",0.14153816778928238
21,5.430761320392291,0.18876232666273912,6.001218318939209,0.1963135004043579,0.06571731716394424,0.04690159112215042,0.15486904978752136,0.8716716170310974,0.46970975399017334,"{5: 0.20480132450331126, 10: 0.28956953642384103, 20: 0.4019867549668874}","{5: 0.13800041754514175, 10: 0.16530862770333196, 20: 0.19374229481678135}",0.1424138201783035
22,5.429039919376374,0.1883744624753793,6.032539367675781,0.19585857540369034,0.06520986557006836,0.04690159112215042,0.1541370153427124,0.870672345161438,0.47633710503578186,"{5: 0.2008278145695364, 10: 0.28741721854304636, 20: 0.3956953642384106}","{5: 0.1348305556947822, 10: 0.16271678596142902, 20: 0.19008201952801634}",0.13959829570441845
23,5.427864075700442,0.18799723501627644,6.029234409332275,0.19536202400922775,0.06472767144441605,0.04690159112215042,0.1536525934934616,0.873602569103241,0.47725120186805725,"{5: 0.19950331125827814, 10: 0.2855960264900662, 20: 0.3955298013245033}","{5: 0.13531380962851822, 10: 0.16310904294449763, 20: 0.19083091786365636}",0.140763198145178
24,5.427775183320046,0.1876948540409406,6.012565851211548,0.19538477063179016,0.06471803784370422,0.04690159112215042,0.15394048392772675,0.8700083494186401,0.48041558265686035,"{5: 0.20033112582781457, 10: 0.2899006622516556, 20: 0.40049668874172184}","{5: 0.1351855600117058, 10: 0.16406317199302825, 20: 0.19194161118261072}",0.14054936288997827
25,5.426901717980702,0.1873691531829536,6.002129316329956,0.19476228952407837,0.06406941264867783,0.04690159112215042,0.15341691672801971,0.876321017742157,0.4785268008708954,"{5: 0.2056291390728477, 10: 0.294205298013245, 20: 0.4009933774834437}","{5: 0.1384131526315449, 10: 0.1669031206345716, 20: 0.19379732245641038}",0.1426639885302411
26,5.425955934325854,0.18703258509437243,6.0243048667907715,0.19511091709136963,0.06445347517728806,0.04690159112215042,0.15262600779533386,0.8756378293037415,0.4839611351490021,"{5: 0.20629139072847683, 10: 0.2912251655629139, 20: 0.40016556291390726}","{5: 0.1386612241631312, 10: 0.16612573080504967, 20: 0.19367741464779076}",0.14271332191315708
27,5.425555537144343,0.1869162513874471,6.031012296676636,0.19455216079950333,0.06383290886878967,0.04690159112215042,0.15221291780471802,0.8752023577690125,0.4888995587825775,"{5: 0.20430463576158941, 10: 0.2892384105960265, 20: 0.3955298013245033}","{5: 0.1375653197433775, 10: 0.1650006831087024, 20: 0.1918262759581307}",0.14173463732990998
28,5.4233136435349785,0.18647449975833297,6.009842157363892,0.19436900317668915,0.06367187201976776,0.04690159112215042,0.151653453707695,0.8770284652709961,0.49362748861312866,"{5: 0.20182119205298013, 10: 0.29238410596026493, 20: 0.4008278145695364}","{5: 0.1364027465416106, 10: 0.16565488095315087, 20: 0.19300727086351407}",0.14175607542328486
29,5.42361630598704,0.18622074568023284,6.006624221801758,0.19405251741409302,0.063361756503582,0.04690159112215042,0.15167021751403809,0.8759902119636536,0.4940260648727417,"{5: 0.20447019867549668, 10: 0.2903973509933775, 20: 0.402317880794702}","{5: 0.13853346464649732, 10: 0.16617531681692363, 20: 0.19439864000737272}",0.14324078086196193
30,5.4232475082079565,0.1859100009314716,6.01791787147522,0.19373825937509537,0.06310553848743439,0.04690159112215042,0.15039479732513428,0.8792902231216431,0.5014541149139404,"{5: 0.20198675496688742, 10: 0.29205298013245035, 20: 0.39966887417218544}","{5: 0.13663483676531457, 10: 0.16573082121792218, 20: 0.19284671000297496}",0.14187375504449504
31,5.421334986885388,0.18563046005244058,6.033589601516724,0.19380179792642593,0.06321866810321808,0.04690159112215042,0.14964206516742706,0.8807002305984497,0.5021561980247498,"{5: 0.2021523178807947, 10: 0.2910596026490066, 20: 0.40033112582781455}","{5: 0.13648323918020488, 10: 0.16523461752379967, 20: 0.19282041638102754}",0.14165862632903042
32,5.4223376452922825,0.1852813999168575,6.020096302032471,0.19307351112365723,0.062482867389917374,0.04690159112215042,0.14935612678527832,0.8815803527832031,0.50712651014328,"{5: 0.19850993377483445, 10: 0.28774834437086094, 20: 0.39602649006622515}","{5: 0.1334079464539787, 10: 0.16225571790278354, 20: 0.18954144408371273}",0.13888256755096234
33,5.421211681763331,0.1849988306251665,6.014435768127441,0.19275079667568207,0.06205017492175102,0.04690159112215042,0.14934542775154114,0.8791017532348633,0.5092602968215942,"{5: 0.2077814569536424, 10: 0.2947019867549669, 20: 0.40049668874172184}","{5: 0.13956741434059397, 10: 0.16751539722973147, 20: 0.1941109360448572}",0.14327013634688018
34,5.42082817753156,0.18474088879302145,6.019442319869995,0.19277015328407288,0.06206023693084717,0.04690159112215042,0.148809552192688,0.8822700381278992,0.5125542283058167,"{5: 0.20248344370860927, 10: 0.2900662251655629, 20: 0.397682119205298}","{5: 0.13704097318333505, 10: 0.16520992051686673, 20: 0.1923277949655293}",0.1419294950977856
35,5.4196815898021065,0.18452999610453844,6.008724689483643,0.19281136989593506,0.06216749548912048,0.04690159112215042,0.14903518557548523,0.8816258311271667,0.5138331651687622,"{5: 0.2077814569536424, 10: 0.29271523178807946, 20: 0.40281456953642386}","{5: 0.13957128461623033, 10: 0.16690675849156664, 20: 0.1946403958150093}",0.1432230513616903
36,5.420441516240438,0.18425712194293736,6.017672300338745,0.1921946480870247,0.061502452939748764,0.04690159112215042,0.14790107309818268,0.8838087320327759,0.5182034969329834,"{5: 0.20281456953642385, 10: 0.2903973509933775, 20: 0.40016556291390726}","{5: 0.13689577216344165, 10: 0.165138426521756, 20: 0.19276617694374742}",0.1417697224395954
37,5.4178777287403745,0.18392437724396588,6.012833118438721,0.19175360351800919,0.061127062886953354,0.04690159112215042,0.1483345776796341,0.8864385485649109,0.5144561529159546,"{5: 0.20165562913907284, 10: 0.2943708609271523, 20: 0.4024834437086093}","{5: 0.1366279147318657, 10: 0.16658586918912976, 20: 0.19386407713226925}",0.14228365058141038
38,5.417300829291344,0.1836365034803748,6.007440567016602,0.1913764476776123,0.06071114540100098,0.04690159112215042,0.14737258851528168,0.884860634803772,0.5237536430358887,"{5: 0.2008278145695364, 10: 0.29271523178807946, 20: 0.39917218543046357}","{5: 0.13563570439420788, 10: 0.1653574608809111, 20: 0.19222598549545997}",0.14129921616307947
39,5.417593236764272,0.18337930962443352,6.009212255477905,0.19159499555826187,0.06087996065616608,0.04690159112215042,0.14624539017677307,0.8847171068191528,0.5315176248550415,"{5: 0.20579470198675498, 10: 0.29602649006622517, 20: 0.4018211920529801}","{5: 0.13944864841486446, 10: 0.16854348087942364, 20: 0.19517100757320985}",0.14419373265954832
40,5.416723949710528,0.18315880121663214,6.004845380783081,0.1907901167869568,0.06010729819536209,0.04690159112215042,0.1460336595773697,0.8873254656791687,0.5319545269012451,"{5: 0.20480132450331126, 10: 0.29254966887417216, 20: 0.39850993377483446}","{5: 0.13840751900578177, 10: 0.1667570152030086, 20: 0.19349487506790666}",0.1430087108485746
41,5.417314356565475,0.18290087499966223,6.008103132247925,0.19094527512788773,0.06021880730986595,0.04690159112215042,0.14573916792869568,0.8876248598098755,0.5329548120498657,"{5: 0.20711920529801325, 10: 0.2915562913907285, 20: 0.401158940397351}","{5: 0.138859724840581, 10: 0.16614899287950124, 20: 0.19381374333867962}",0.14264832553484583
42,5.417250565687815,0.1826270528137684,6.010328054428101,0.19037435948848724,0.059634048491716385,0.04690159112215042,0.14601920545101166,0.8857823014259338,0.5362864136695862,"{5: 0.20447019867549668, 10: 0.2935430463576159, 20: 0.4014900662251656}","{5: 0.1385558930453875, 10: 0.16721950303639796, 20: 0.19439195039256518}",0.1433942630590982
43,5.415602592627208,0.18225016050661605,6.023025035858154,0.1904028356075287,0.059709448367357254,0.04690159112215042,0.14534121751785278,0.8867716193199158,0.537743330001831,"{5: 0.20496688741721855, 10: 0.2902317880794702, 20: 0.40033112582781455}","{5: 0.13817656561238875, 10: 0.16555117171331746, 20: 0.19326031413299358}",0.14227163554816846
44,5.415173350771268,0.18209611993903915,6.0255208015441895,0.19029264897108078,0.0595129169523716,0.04690159112215042,0.1453576385974884,0.8889527320861816,0.5415602326393127,"{5: 0.20496688741721855, 10: 0.29238410596026493, 20: 0.40049668874172184}","{5: 0.13809176817635038, 10: 0.16624660870886795, 20: 0.19348998417128002}",0.14243326755548943
45,5.415368688106537,0.18189667901024223,6.003466367721558,0.1900280863046646,0.059278909116983414,0.04690159112215042,0.14494769275188446,0.8886383771896362,0.5431811213493347,"{5: 0.20281456953642385, 10: 0.2910596026490066, 20: 0.40281456953642386}","{5: 0.13767897245899732, 10: 0.1662832500129346, 20: 0.19453837413661526}",0.14316523975094422
46,5.414944972594579,0.18170763660843173,6.004088878631592,0.1893390566110611,0.05852501466870308,0.04690159112215042,0.14483433961868286,0.8882492780685425,0.5467435717582703,"{5: 0.20596026490066224, 10: 0.2950331125827815, 20: 0.4014900662251656}","{5: 0.1386728046745654, 10: 0.16732620340309395, 20: 0.19412296118325745}",0.14301162618674979
47,5.414334535598755,0.1814038294988374,6.018664836883545,0.18961838632822037,0.05884184315800667,0.04690159112215042,0.1441681981086731,0.893463134765625,0.546180248260498,"{5: 0.20264900662251656, 10: 0.28807947019867547, 20: 0.40033112582781455}","{5: 0.13676058030286373, 10: 0.1642009709844526, 20: 0.19252529523230547}",0.1413610243639409
48,5.414600884914398,0.18111149575561286,6.0078229904174805,0.18898140639066696,0.05810115486383438,0.04690159112215042,0.1428542584180832,0.8940826654434204,0.5546525120735168,"{5: 0.20728476821192052, 10: 0.29288079470198675, 20: 0.4008278145695364}","{5: 0.139540883247426, 10: 0.16715230878615223, 20: 0.1943762520291158}",0.14353975207600372
49,5.414103425542513,0.18099265101676185,6.011176824569702,0.1889355704188347,0.058093950152397156,0.04690159112215042,0.14393983781337738,0.8899626731872559,0.5514742136001587,"{5: 0.2076158940397351, 10: 0.2910596026490066, 20: 0.4016556291390728}","{5: 0.13886680350398387, 10: 0.1656272483977261, 20: 0.19352705494457523}",0.14212239246494723
50,5.412723536292712,0.1806909039306144,6.006112575531006,0.18858788907527924,0.057802360504865646,0.04690159112215042,0.14264218509197235,0.8922379612922668,0.5602786540985107,"{5: 0.2077814569536424, 10: 0.2948675496688742, 20: 0.40281456953642386}","{5: 0.1390609438056188, 10: 0.16703580136330712, 20: 0.1942092592353063}",0.1426735934832238
51,5.413849978645643,0.18045686411981782,6.011462211608887,0.1881202980875969,0.05734357610344887,0.04690159112215042,0.14293700456619263,0.8920977711677551,0.5586011409759521,"{5: 0.20281456953642385, 10: 0.29238410596026493, 20: 0.39966887417218544}","{5: 0.13625759099492962, 10: 0.16509991576340025, 20: 0.19203934827387728}",0.14082922019705868
52,5.413177681962649,0.18032136677453917,6.017975568771362,0.18844077736139297,0.05765616521239281,0.04690159112215042,0.14210893213748932,0.8957420587539673,0.5615274310112,"{5: 0.2029801324503311, 10: 0.29072847682119207, 20: 0.401158940397351}","{5: 0.13696964087075744, 10: 0.16517817010942673, 20: 0.19310215830013452}",0.14181444787031766
53,5.413434249162674,0.1800328626918296,6.02579140663147,0.18791117519140244,0.05705781280994415,0.04690159112215042,0.1418803632259369,0.8946248888969421,0.5651870965957642,"{5: 0.203476821192053, 10: 0.2902317880794702, 20: 0.397682119205298}","{5: 0.13737942019835214, 10: 0.16524509657297703, 20: 0.19230222891498086}",0.14188690185546876
